CRN,CourseName,Credit,Description,Instructor,Seats,Days,Timings,Prerequisite
30619,Privacy & IT,3,"This course will discuss the concepts, culture, and legislative requirements of privacy viewed through a lens of Information Technology. While giving a global overview of privacy, the class will provide students with a practical grounding of the administration of privacy in Canada.",Heggie C.,100,Monday,1005-1055,Null
30620,Lab-Privacy & IT,3,"This course will discuss the concepts, culture, and legislative requirements of privacy viewed through a lens of Information Technology. While giving a global overview of privacy, the class will provide students with a practical grounding of the administration of privacy in Canada.",Heggie C.,100,Monday,1005-1055,Null
31298,Lab-Privacy & IT,3,"This course will discuss the concepts, culture, and legislative requirements of privacy viewed through a lens of Information Technology. While giving a global overview of privacy, the class will provide students with a practical grounding of the administration of privacy in Canada.",Heggie C.,100,Monday,1005-1055,Null
30621,Lab-Privacy & IT,3,"This course will discuss the concepts, culture, and legislative requirements of privacy viewed through a lens of Information Technology. While giving a global overview of privacy, the class will provide students with a practical grounding of the administration of privacy in Canada.",Heggie C.,100,Monday,1005-1055,Null
30629,Lab-Adv Topic in Cloud Computing,3,"Cloud computing provides users with the ability to access and use computational, storage, and interconnect resources as services offered by cloud providers. This course provides the students with the theoretical foundations of the cloud computing as well as with hands-on experience in using various cloud technologies. Topics covered are related to the types of cloud services, cloud infrastructure, distributed storage models, and programming models offered as general services and also developed for Big Data. Topics will also include underlying technologies, such as virtualization.",Hawkey R,100,Friday,1605-1725,"13355, 13357,13358,13359,13360"
30628,Adv Topic in Cloud Computing,3,"Cloud computing provides users with the ability to access and use computational, storage, and interconnect resources as services offered by cloud providers. This course provides the students with the theoretical foundations of the cloud computing as well as with hands-on experience in using various cloud technologies. Topics covered are related to the types of cloud services, cloud infrastructure, distributed storage models, and programming models offered as general services and also developed for Big Data. Topics will also include underlying technologies, such as virtualization.",Hawkey R,100,Friday,1605-1725,"13355, 13357,13358,13359,13360"
30624,Lab-Advanced Topics In Software Development,3,"This course will provide students with the fundamentals of producing high quality code in a team-based programming environment. The concepts covered in class will be implemented during the group project. After establishing the coding environment using Agile methodology; efficiently automating builds, deployment, and configuration; and integrating source control, students will learn to write clean, readable code using S.O.L.I.D principles, the proper use of cohesion and coupling, and design patterns. Other topics include establishing data, business logic and display logic boundaries; error handling and logging; refactoring; and test-driven development.",Hawkey R,100,Wednesday,1535-1655,Null
30623,Advanced Topics In Software Development,3,"This course will provide students with the fundamentals of producing high quality code in a team-based programming environment. The concepts covered in class will be implemented during the group project. After establishing the coding environment using Agile methodology; efficiently automating builds, deployment, and configuration; and integrating source control, students will learn to write clean, readable code using S.O.L.I.D principles, the proper use of cohesion and coupling, and design patterns. Other topics include establishing data, business logic and display logic boundaries; error handling and logging; refactoring; and test-driven development.",Hawkey R,100,Wednesday,1535-1655,Null
31205,Communicating Computer Science Ideas,3,"In this course, we will focus on creating the appropriate document or presentation in a variety of situations. Emphasis will be on reducing/removing noise (anything that distracts from the message) and on increasing/adding relevance (things that reinforce understanding of the message).",Cochran A.,100,Null,Null,Null
30626,"Lab-Data Management, Warehousing & Analytics",3,"In this course, we will focus on three pillars for managingand analyzing data in distributed and cloud environments: Management of data in distributed systems, Data Warehousing, and Data Analytics.",Dey S.,100,Friday,1235-1355,Null
